FinnishName;ScientificName;type_of_occurrence;status;authority_status;synonyms
pohjankorvasammal;Jungermannia atrovirens;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
kantokorvasammal;Liochlaena lanceolata;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;Jungermannia leiantha Grolle
lähdehammassammal;Mesoptychia bantriensis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Jungermannia bantriensis Hook.  Lophozia bantriensis (Hook.) Steph.  Leiocolea bantriensis (Hook.) J›rg.
kantokinnassammal;Scapania apiculata;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
kourukinnassammal;Scapania carinthiaca;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  EU:n luontodirektiivin II-liite  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Scapaniella carinthiaca (J.B. Jack ex Lindb.) H. Buch
heleakinnassamal;Scapania glaucocephala;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Jungermannia glaucocephala Taylor
lehtokinnassammal;Scapania nemorea;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Jungermannia nemorea L.
hetekinnassammal;Scapania paludosa;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Scapania undulata var. paludosa Mll. Frib.
kaltiokinnassammal;Scapania uliginosa;Vakiintunut;NT (2019);Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola;Jungermannia undulata var. uliginosa Lindenb.  Jungermannia uliginosa (Lindenb.) Sw. ex Nees
harsosammal;Trichocolea tomentella;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Jungermannia tomentella Ehrh.
rantalovisammal;Heterogemma capitata;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Jungermannia capitata Hook.  Lophozia capitata (Hook.) Macoun
korpikaltiosammal;Harpanthus scutatus;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Jungermannia scutata F. Weber & D. Mohr
makaransammal;Hygrobiella laxifolia;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);Jungermannia laxifolia Hook.
koskikorvasammal;Solenostoma obovatum;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola;Jungermannia obovata Nees
haaraliuskasammal;Riccardia multifida;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Jungermannia multifida L.
pikkuliuskasammal;Riccardia palmata;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Jungermannia palmata Hedw.  Aneura palmata (Hedw.) Dumort.
isonauhasammal;Aneura maxima;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Riccardia maxima Schiffn.
piilosammal;Aneura mirabilis;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Cryptothallus mirabilis Malmb.
koskipunossammal;Porella cordaeana;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Jungermannia cordaeana Huebener
purosuomusammal;Radula lindenbergiana;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Radula complanata subsp. lindenbergiana (Gottsche ex C. Hartm.) R.M. Schust.
lettokehräsammal;Moerckia hibernica sensu lato;Vakiintunut;NT (2019);VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
ormio;Pilularia globulifera;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
upossarpio;Alisma wahlenbergii;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n ensisijaisesti suojeltavat lajit (luontodirektiivin II-liite)  EU:n luontodirektiivin liite II  Suomen Natura-lajit  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
notkeanäkinruoho;Najas flexilis;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
hentonäkinruoho;Najas tenuissima;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
otavita;Potamogeton friesii;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola;Potamogeton mucronatus Schrad. ex Sond.
tatarvita;Potamogeton polygonifolius;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko;
jouhivita;Potamogeton rutilus;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa;
merihapsikka;Ruppia maritima;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa;Ruppia cirrhosa (Petagna) Grande
kiertohapsikka;Ruppia spiralis;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo;
meriajokas;Zostera marina;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko;
liejupahaputki;Oenanthe aquatica;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo;
kielikämmekkä;Dactylorhiza fuchsii;alkuperainen  vanhaa perua  vakiintunut;NT (2019);CITES-sopimus  liite II  EU-lainsaadanto koskien CITES-sopimusta  liite B  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;Dactylorhiza maculata subsp. fuchsii (Druce) Hyl.
sääskenvalkku;Malaxis monophyllos;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  CITES-sopimus  liite II  EU-lainsaadanto koskien CITES-sopimusta  liite B  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Microstylis monophyllos (L.) Lindl.
tunturikissankello;Campanula rotundifolia subsp. groenlandica;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo;
metsälitukka;Cardamine flexuosa;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
merilettotähtimo;Stellaria crassifolia var. minor;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Stellaria crassifolia var. brevifolia (Rafn) Fr.
lietetatar;Persicaria foliosa;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Polygonum foliosum H. Lindb.
tuoksumatara;Galium odoratum;alkuperainen  vanhaa perua  vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nelilehtivesikuusi;Hippuris tetraphylla;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
