FinnishName;ScientificName;type_of_occurrence;status;authority_status;synonyms
kultaruokokuoriainen;Donacia aureocincta;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
pyöröliejukärsäkäs;Bagous petro;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
vitaliejukärsäkäs;Bagous limosus;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
palpakkoliejukärsäkäs;Bagous lutosus;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
oulunhormikas;Glossosoma nylanderi;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
kalvaspalkonen;Allotrichia pallicornis;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
köngäspalkonen;Hydroptila lotensis;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
noropalkonen;Hydroptila occulta;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
vuollepalkonen;Hydroptila dampfi;Vakiintunut  Hyvin harvinainen;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
koipipalkonen;Tricholeiochiton fagesii;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
vähäsilmupalkonen;Ithytrichia clavata;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kaakonpalkonen;Orthotrichia tragetti;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
terhopalkonen;Stactobiella risi;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Stactobiella ulmeri Siltala  1908
juovaharjakas;Chimarra marginata;Vakiintunut  Harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
pikkulipporysäkäs;Plectrocnemia conjuncta;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
lettorysäkäs;Holocentropus stagnalis;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
tundrahiidekas;Agrypnia sahlbergi;Vakiintunut  Hyvin harvinainen;NT (2019);Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kalmosirvikäs;Agrypnetes crassicornis;Vakiintunut  Hyvin harvinainen;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
lähdesirvikäs;Crunoecia irrorata;Vakiintunut  Harvinainen;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
nivasirvikäs;Apatania wallengreni;Vakiintunut  Yleinen;NT (2019);nan;
vienosirvikäs;Apatania forsslundi;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
siviasirvikäs;Apatania cimbrica;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
okapääsirvikäs;Ecclisopteryx dalecarlica;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
jänkäputkisirvikas;Limnephilus picturatus;Vakiintunut  Harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
